"region","glu_name","region_id","metric_id","landclass","1975","1990","2005","2010","2015","2020","2025","2030","2035","2040","2045","2050"
"Africa_Eastern","AfrCstE",2,"171","Wheat_RFD",0.4599,0.628924,0.6019,0.588534,0.601206,0.596762,0.596148,0.580318,0.58881,0.588281,0.58008,0.565711
"Africa_Eastern","AfrCstNE",2,"100","biomass_grass_IRR",0,0,0,0,0,0,0.00365513,0.0040291,0.00426462,0.00485368,0.00549808,0.00608458
"Africa_Eastern","AfrCstNE",2,"100","biomass_grass_RFD",0,0,0,0,0,0,0.0718034,0.0815064,0.0906886,0.1045918,0.121752,0.1392158
"Africa_Eastern","AfrCstNE",2,"100","biomass_tree_IRR",0,0,0,0,0,0,1.966647e-06,2.18338e-06,2.311455e-06,2.639975e-06,3.017814e-06,3.39551e-06
"Africa_Eastern","AfrCstNE",2,"100","biomass_tree_RFD",0,0,0,0,0,0,3.86522e-05,4.41937e-05,4.91868e-05,5.69118e-05,6.68411e-05,7.7691e-05
"Africa_Eastern","AfrCstNE",2,"100","Corn_IRR",0.2055,0.373256,0.504756,0.403488,0.362388,0.411421,0.489596,0.560859,0.604984,0.641148,0.672325,0.697922
"Africa_Eastern","AfrCstNE",2,"100","Corn_RFD",0.087896,0.1596476,0.215892,0.1725786,0.1549996,0.181552,0.2206715,0.2569983,0.2848819,0.3090168,0.3304526,0.3488119
"Africa_Eastern","AfrCstNE",2,"100","FiberCrop_IRR",0.0268376,0.0268244,0.0396774,0.0431608,0.0449558,0.0466272,0.0512113,0.05477,0.0563028,0.0568395,0.0566939,0.0558691
"Africa_Eastern","AfrCstNE",2,"100","FiberCrop_RFD",0.01380244,0.0137956,0.0204058,0.0221972,0.0231204,0.0242373,0.0267975,0.0288281,0.0280299,0.0268136,0.0253831,0.02377634
"Africa_Eastern","AfrCstNE",2,"100","FodderGrass_IRR",0,0.0014894,0.0018778,0.001916498,0.0019178,0.00218293,0.00245675,0.00278037,0.00311269,0.00343641,0.003736186,0.003999039
"Africa_Eastern","AfrCstNE",2,"100","FodderGrass_RFD",0,0,0,0,0,0,0,0,0,0,0,0
"Africa_Eastern","AfrCstNE",2,"100","FodderHerb_IRR",0,0,6e-07,2.0001e-07,2e-07,7.55543e-08,7.79885e-08,7.817e-08,7.67014e-08,7.21431e-08,6.65421e-08,5.936e-08
"Africa_Eastern","AfrCstNE",2,"100","FodderHerb_RFD",5.00002e-06,8.6e-06,0.0334816,0.00904246,0.0105728,0.00430818,0.00477987,0.00513666,0.00527196,0.00517788,0.00498326,0.00462884
"Africa_Eastern","AfrCstNE",2,"100","Forest",0.118557,0.1183,0.0796544,0.175952,0.13228,0.13679,0.14009,0.138264,0.134548,0.127593,0.118563,0.108047
"Africa_Eastern","AfrCstNE",2,"100","Grassland",0.487465,0.505019,3.0604,2.84957,2.81803,2.66356,2.49157,2.2841,2.05975,1.82653,1.59408,1.37592
"Africa_Eastern","AfrCstNE",2,"100","MiscCrop_IRR",0.028602,0.0592638,0.1273628,0.1301358,0.1345912,0.1378359,0.1475693,0.1591862,0.1734529,0.1868541,0.1988185,0.2091786
"Africa_Eastern","AfrCstNE",2,"100","MiscCrop_RFD",0.1323744,0.274282,0.589452,0.602286,0.622906,0.656294,0.716443,0.786409,0.864014,0.938032,1.005233,1.06433
